Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,42.5,36.2,48.9,36.2 - 48.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,37.8,35.3,40.4,35.3 - 40.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,36.2,34.6,37.9,34.6 - 37.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,27.5,26.3,28.7,26.3 - 28.7,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,31.3,27.2,35.8,27.2 - 35.8,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,27.8,26.1,29.5,26.1 - 29.5,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,26.8,25.3,28.4,25.3 - 28.4,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,17.3,16.3,18.3,16.3 - 18.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,34.3,30.3,38.5,30.3 - 38.5,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,30.5,28.7,32.4,28.7 - 32.4,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,30.2,28.7,31.7,28.7 - 31.7,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,22.7,21.7,23.6,21.7 - 23.6,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,40.9,36.2,45.8,36.2 - 45.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,37.6,36,39.3,36.0 - 39.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,36.1,34.5,37.8,34.5 - 37.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,26.4,25.3,27.5,25.3 - 27.5,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,38.7,34,43.5,34.0 - 43.5,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,26.6,25.1,28.1,25.1 - 28.1,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,27.6,26.4,28.8,26.4 - 28.8,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,17.3,16.5,18.2,16.5 - 18.2,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,40.6,36.8,44.5,36.8 - 44.5,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,29.5,27.9,31.1,27.9 - 31.1,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,32.4,31.3,33.6,31.3 - 33.6,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,23.7,22.9,24.6,22.9 - 24.6,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,47.7,43.4,52.1,43.4 - 52.1,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,35.3,33.6,37.1,33.6 - 37.1,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,37.6,36.4,38.8,36.4 - 38.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,27,26.1,27.9,26.1 - 27.9,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,31.9,28.6,35.4,28.6 - 35.4,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,27.8,26.3,29.5,26.3 - 29.5,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,27.8,26.7,29,26.7 - 29.0,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,18.6,17.7,19.6,17.7 - 19.6,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,37.8,34.2,41.5,34.2 - 41.5,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,31.4,29.8,32.9,29.8 - 32.9,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,32.8,31.7,33.9,31.7 - 33.9,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,25.9,25.1,26.8,25.1 - 26.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,43.9,40.4,47.5,40.4 - 47.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,36.7,35.1,38.3,35.1 - 38.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,38.3,37.2,39.4,37.2 - 39.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,29.4,28.5,30.3,28.5 - 30.3,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,37.1,33.3,40.9,33.3 - 40.9,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,27.6,25.8,29.6,25.8 - 29.6,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,28.2,26.8,29.7,26.8 - 29.7,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,18.9,18.1,19.7,18.1 - 19.7,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,36.9,33.6,40.4,33.6 - 40.4,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,31,28.9,33.1,28.9 - 33.1,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,33.6,32.2,35.1,32.2 - 35.1,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,27.3,26.4,28.2,26.4 - 28.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,44.7,41.2,48.2,41.2 - 48.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,36.8,34.7,38.8,34.7 - 38.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,39.3,37.8,40.7,37.8 - 40.7,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,30.2,29.3,31.1,29.3 - 31.1,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,31.4,27.7,35.3,27.7 - 35.3,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,27.5,25.6,29.5,25.6 - 29.5,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,28.4,26.9,29.9,26.9 - 29.9,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,17.9,17,18.9,17.0 - 18.9,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,37.7,33.6,41.9,33.6 - 41.9,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,32.5,30.6,34.5,30.6 - 34.5,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,34.5,33.1,36,33.1 - 36.0,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,26.6,25.7,27.6,25.7 - 27.6,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,43.7,39.7,47.8,39.7 - 47.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,37.4,35.3,39.5,35.3 - 39.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,39.3,37.7,40.9,37.7 - 40.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,29.4,28.5,30.4,28.5 - 30.4,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,31.4,28,34.9,28.0 - 34.9,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,28.8,27.3,30.3,27.3 - 30.3,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,28.6,27.3,29.8,27.3 - 29.8,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,18.2,17.3,19,17.3 - 19.0,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,36.6,33.3,39.9,33.3 - 39.9,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,32.7,31.1,34.4,31.1 - 34.4,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,33.7,32.1,35.2,32.1 - 35.2,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,26,25,27,25.0 - 27.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,43.6,39.9,47.3,39.9 - 47.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,38.1,36.5,39.6,36.5 - 39.6,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,39.1,37.6,40.7,37.6 - 40.7,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,29.2,28.1,30.3,28.1 - 30.3,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,37.1,33.2,41.2,33.2 - 41.2,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,28.7,27,30.5,27.0 - 30.5,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,30,28.9,31,28.9 - 31.0,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,19.4,18.5,20.3,18.5 - 20.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,41,37.1,44.9,37.1 - 44.9,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,33.5,32.1,35,32.1 - 35.0,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,36.4,35.4,37.3,35.4 - 37.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,26.9,25.9,27.9,25.9 - 27.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,46.9,42.9,51,42.9 - 51.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,38.7,37,40.5,37.0 - 40.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,41.8,40.7,43,40.7 - 43.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,30.3,29.3,31.4,29.3 - 31.4,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,38.3,34.5,42.1,34.5 - 42.1,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,29.1,28,30.3,28.0 - 30.3,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,31.2,30.2,32.2,30.2 - 32.2,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,19.9,19.2,20.5,19.2 - 20.5,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,40.7,37.4,44.2,37.4 - 44.2,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,34.9,33.2,36.6,33.2 - 36.6,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,37,35.8,38.2,35.8 - 38.2,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,28.3,27.6,29.1,27.6 - 29.1,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,48.4,44.8,52,44.8 - 52.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,40.7,39.3,42.2,39.3 - 42.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,42.2,41,43.4,41.0 - 43.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,10,"July 2 - July 7, 2020",07/02/2020,2020-07-07,31.7,30.9,32.5,30.9 - 32.5,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,34.9,30.1,39.9,30.1 - 39.9,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,28.6,27.1,30.1,27.1 - 30.1,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,32.3,31,33.6,31.0 - 33.6,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,21.6,20.6,22.6,20.6 - 22.6,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,44,38.4,49.6,38.4 - 49.6,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,34.6,32.9,36.2,32.9 - 36.2,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,39.3,38.1,40.6,38.1 - 40.6,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,30.6,29.7,31.5,29.7 - 31.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,49.2,43.7,54.7,43.7 - 54.7,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,39.4,37.7,41.1,37.7 - 41.1,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,44.6,43.3,46,43.3 - 46.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,11,"July 9 - July 14, 2020",07/09/2020,2020-07-14,34.4,33.4,35.3,33.4 - 35.3,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,38.4,34.1,42.8,34.1 - 42.8,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,31.4,29.6,33.2,29.6 - 33.2,NA
Symptoms of Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,33,31.6,34.4,31.6 - 34.4,NA
Symptoms of Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,22.2,21.2,23.3,21.2 - 23.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,42,38.4,45.6,38.4 - 45.6,NA
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,36.4,34.5,38.3,34.5 - 38.3,NA
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,38.1,36.9,39.2,36.9 - 39.2,NA
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,32.2,31.1,33.2,31.1 - 33.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Less than a high school diploma,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,47.3,43.3,51.4,43.3 - 51.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,High school diploma or GED,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,42.2,40.3,44.2,40.3 - 44.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Some college/Associate's degree,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,43.3,42,44.5,42.0 - 44.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Education,United States,Bachelor's degree or higher,1.0,12,"July 16 - July 21, 2020",07/16/2020,2020-07-21,35.7,34.6,36.8,34.6 - 36.8,NA
Symptoms of Depressive Disorder,By Education,United States,Less than a high school diploma,-1,1,"July 22 - Aug 18, 2020",07/22/2020,2020-08-18,NA,NA,NA,NA,NA
Symptoms of Depressive Disorder,By Education,United States,High school diploma or GED,-1,1,"July 22 - Aug 18, 2020",07/22/2020,2020-08-18,NA,NA,NA,NA,NA
