Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,38.9,36.4,41.4,36.4 - 41.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,31.9,28.5,35.4,28.5 - 35.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,1,"Apr 23 - May 5, 2020",04/23/2020,2020-05-05,43.9,39.8,48.1,39.8 - 48.1,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,27.9,24.4,31.6,24.4 - 31.6,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,22.5,21.6,23.4,21.6 - 23.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,27.7,23.8,31.9,23.8 - 31.9,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,19.5,15.4,24.3,15.4 - 24.3,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,33,28.6,37.7,28.6 - 37.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,36.2,32.6,39.9,32.6 - 39.9,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,27.8,26.8,28.7,26.8 - 28.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,33,29.3,37,29.3 - 37.0,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,26.3,22.3,30.7,22.3 - 30.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,38.9,34.1,43.9,34.1 - 43.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,40.3,36.6,44,36.6 - 44.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,32,31.1,32.9,31.1 - 32.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,38.8,34.2,43.5,34.2 - 43.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,29.9,25.7,34.4,25.7 - 34.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,2,"May 7 - May 12, 2020",05/07/2020,2020-05-12,45.9,41.1,50.7,41.1 - 50.7,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,28.9,26.5,31.4,26.5 - 31.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,22.7,22,23.5,22.0 - 23.5,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,28.5,26.5,30.6,26.5 - 30.6,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,20.9,17.8,24.2,17.8 - 24.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,27.1,23.9,30.6,23.9 - 30.6,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,33.6,31.1,36.2,31.1 - 36.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,26.3,25.4,27.2,25.4 - 27.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,32.7,30.7,34.7,30.7 - 34.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,23.4,20.9,26.2,20.9 - 26.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,31.3,27.6,35.2,27.6 - 35.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,40.7,38,43.4,38.0 - 43.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,31.3,30.4,32.1,30.4 - 32.1,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,39.4,37.2,41.6,37.2 - 41.6,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,30.2,27.1,33.5,27.1 - 33.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,3,"May 14 - May 19, 2020",05/14/2020,2020-05-19,37.2,33.3,41.2,33.3 - 41.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,31.4,28.4,34.4,28.4 - 34.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,23.3,22.4,24.2,22.4 - 24.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,24.8,22.6,27,22.6 - 27.0,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,19.5,17,22.2,17.0 - 22.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,32.2,28.3,36.3,28.3 - 36.3,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,36.3,33.5,39.2,33.5 - 39.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,27.6,26.7,28.5,26.7 - 28.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,30.2,27.8,32.7,27.8 - 32.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,22.2,19.6,25,19.6 - 25.0,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,38.6,34.5,42.9,34.5 - 42.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,41.5,38.6,44.5,38.6 - 44.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,32.3,31.4,33.3,31.4 - 33.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,35.6,32.9,38.3,32.9 - 38.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,27.6,24.5,30.8,24.5 - 30.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,4,"May 21 - May 26, 2020",05/21/2020,2020-05-26,43.4,39.5,47.4,39.5 - 47.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,26.3,24.6,28.1,24.6 - 28.1,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,23.7,22.9,24.4,22.9 - 24.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,29.9,27.7,32.2,27.7 - 32.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,22,19.5,24.7,19.5 - 24.7,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,37.6,33.3,42,33.3 - 42.0,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,32.1,30.1,34.1,30.1 - 34.1,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,29,28.2,29.8,28.2 - 29.8,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,33.8,31.6,36.2,31.6 - 36.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,28.4,25.3,31.7,25.3 - 31.7,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,44.6,40.8,48.4,40.8 - 48.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,38.3,36.2,40.4,36.2 - 40.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,33.1,32.3,33.9,32.3 - 33.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,40.5,38.3,42.7,38.3 - 42.7,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,34.2,31.6,37,31.6 - 37.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,5,"May 28 - June 2, 2020",05/28/2020,2020-06-02,49.6,45.9,53.4,45.9 - 53.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,30.8,28.4,33.3,28.4 - 33.3,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,23.9,22.9,24.8,22.9 - 24.8,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,29.6,27.1,32.2,27.1 - 32.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,19.8,16.7,23.2,16.7 - 23.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,33.9,30.4,37.5,30.4 - 37.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,34,31.6,36.6,31.6 - 36.6,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,29.6,28.7,30.6,28.7 - 30.6,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,34.6,31.7,37.5,31.7 - 37.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,25.6,21.9,29.5,21.9 - 29.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,40.4,36,44.8,36.0 - 44.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,40.8,38.2,43.4,38.2 - 43.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,34,33,35,33.0 - 35.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,40,37.1,42.9,37.1 - 42.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,29.2,25.5,33,25.5 - 33.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,6,"June 4 - June 9, 2020",06/04/2020,2020-06-09,48.1,43.6,52.7,43.6 - 52.7,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,28.4,25.5,31.5,25.5 - 31.5,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,23.5,22.6,24.6,22.6 - 24.6,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,28.3,25.8,30.9,25.8 - 30.9,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,21,16.9,25.5,16.9 - 25.5,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,32.3,28.4,36.4,28.4 - 36.4,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,33.6,30.7,36.6,30.7 - 36.6,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,30.6,29.6,31.6,29.6 - 31.6,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,35.8,32.9,38.8,32.9 - 38.8,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,26,21.8,30.5,21.8 - 30.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,37.6,33.3,42.2,33.3 - 42.2,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,39.6,36.4,43,36.4 - 43.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,34.3,33.3,35.3,33.3 - 35.3,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,40,37,43,37.0 - 43.0,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,29.9,25.7,34.4,25.7 - 34.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,7,"June 11 - June 16, 2020",06/11/2020,2020-06-16,44.3,40,48.6,40.0 - 48.6,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,29,26.6,31.4,26.6 - 31.4,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,24.2,23.5,25,23.5 - 25.0,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,28.1,26,30.3,26.0 - 30.3,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,20.1,17.4,23.1,17.4 - 23.1,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,34.1,29.9,38.5,29.9 - 38.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,36.5,34,39.1,34.0 - 39.1,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,29.8,29,30.5,29.0 - 30.5,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,32.6,30.4,34.9,30.4 - 34.9,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,23,20,26.2,20.0 - 26.2,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,39.7,35.8,43.8,35.8 - 43.8,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,42.3,39.9,44.7,39.9 - 44.7,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,34.1,33.3,34.9,33.3 - 34.9,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,39.1,36.8,41.5,36.8 - 41.5,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,27.8,24.4,31.4,24.4 - 31.4,NA
Symptoms of Anxiety Disorder or Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,8,"June 18 - June 23, 2020",06/18/2020,2020-06-23,45.1,41.2,48.9,41.2 - 48.9,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,31.1,29,33.2,29.0 - 33.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic White, single race",1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,24.9,24.1,25.8,24.1 - 25.8,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Black, single race",1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,30.9,28.6,33.2,28.6 - 33.2,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,21.5,18.6,24.7,18.6 - 24.7,NA
Symptoms of Depressive Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,36.8,33.2,40.4,33.2 - 40.4,NA
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1.0,9,"June 25 - June 30, 2020",06/25/2020,2020-06-30,37,34.8,39.2,34.8 - 39.2,NA
